id,name,slug,start_date,end_date,city,state_region,country,category,event_type,venue,description,website,source_url
CONV-001,CES 2026,ces-2026-las-vegas-2026,2026-01-06,2026-01-09,Las Vegas,NV,USA,Electronics,Trade Show,Las Vegas Convention Center,"Global consumer electronics and technology trade show featuring AI, mobility, digital health, smart home and enterprise innovation.",https://www.ces.tech,https://www.ces.tech/plan-your-visit/dates-and-hours/
CONV-002,NRF 2026: Retail’s Big Show,nrf-2026-retail-s-big-show-new-york-2026,2026-01-11,2026-01-13,New York,NY,USA,Business,Conference & Expo,Jacob K. Javits Convention Center,"Retail business, commerce, marketing technology and customer experience conference for brands, agencies and technology vendors.",https://nrfbigshow.nrf.com,https://nrfbigshow.nrf.com
CONV-003,World Economic Forum Annual Meeting 2026,world-economic-forum-annual-meeting-2026-davos-2026,2026-01-19,2026-01-23,Davos,Graubünden,Switzerland,Business,Forum,Davos-Klosters,"Annual global business and policy forum focused on economics, technology, risk, finance and international leadership.",https://www.weforum.org,https://www.weforum.org
CONV-004,Bett UK 2026,bett-uk-2026-london-2026,2026-01-21,2026-01-23,London,England,United Kingdom,Technology,Expo,ExCeL London,"Education technology conference and expo with AI learning platforms, enterprise software and digital transformation solutions.",https://www.bettshow.com,https://www.bettshow.com
CONV-005,DLD Munich 2026,dld-munich-2026-munich-2026,2026-01-15,2026-01-17,Munich,Bavaria,Germany,Business,Conference,House of Communication,"Invitation-focused business, digital innovation and technology conference gathering founders, investors, media and executives.",https://dld-conference.com,https://dld-conference.com
CONV-006,LEAP 2026,leap-2026-riyadh-2026,2026-02-09,2026-02-12,Riyadh,Riyadh Province,Saudi Arabia,Technology,Conference & Expo,Riyadh Exhibition and Convention Center,"Large technology conference focused on AI, cloud, startups, smart cities, digital transformation and investment.",https://www.onegiantleap.com,https://www.onegiantleap.com
CONV-007,CDAO Financial Services 2026,cdao-financial-services-2026-new-york-2026,2026-02-18,2026-02-19,New York,NY,USA,Finance,Conference,New York City,"Data, analytics, AI and governance conference for financial services executives.",https://cdao-fs.coriniumintelligence.com,https://fintechlabs.com/33-fintech-conferences-events-for-2021/
CONV-008,The AI+BI Conference 2026,the-ai-bi-conference-2026-las-vegas-2026,2026-02-23,2026-02-26,Las Vegas,NV,USA,AI,Conference,Wynn Las Vegas,"Artificial intelligence and business intelligence conference for data leaders, analysts and enterprise technology teams.",https://aibiconference.com,https://10times.com/e1h3-s8f3-k4gz-k
CONV-009,Mobile World Congress Barcelona 2026,mobile-world-congress-barcelona-2026-barcelona-2026,2026-03-02,2026-03-05,Barcelona,Catalonia,Spain,Technology,Trade Show,Fira Gran Via,"Global mobile, connectivity, devices, telecom, AI and digital infrastructure industry event.",https://www.mwcbarcelona.com,https://www.mwcbarcelona.com
CONV-010,FinAI Banking Summit 2026,finai-banking-summit-2026-denver-2026,2026-03-02,2026-03-03,Denver,CO,USA,Finance,Summit,Denver,"Banking innovation summit centered on AI, automation, risk, compliance and financial services transformation.",https://fintechlabs.com,https://fintechlabs.com/33-fintech-conferences-events-for-2021/
